location,typelandgebruik,voorkomen,area
ME063,grasland,"dras, moerassig",18631.9413665414
ME063,grasland,"met riet",11721.8726697003
ME063,grasland,"met riet|dras, moerassig",910.971267015285
ME063,overig,,27026.7365981355
ME063,zand,,39521.8724047376
ME067,akkerland,,973101.413771715
ME067,"basaltblokken, steenglooiing",,17114.7337414069
ME067,"bos: loofbos",,120780.205265596
ME067,"bos: loofbos","dras, moerassig",20177.1583470732
ME067,fruitkwekerij,,289907.636993504
ME067,grasland,,857854.799688151
ME067,grasland,"dras, moerassig",13447.0923618767
ME067,grasland,"met riet",11721.8726697003
ME067,overig,,34569.554401137
ME067,zand,,44081.3664823883
ND039,akkerland,,62494.7010957047
ND039,"basaltblokken, steenglooiing",,9565.33445218692
ND039,boomgaard,,5729.26713939424
ND039,"bos: gemengd bos",,2201.02395209613
ND039,"bos: loofbos",,71443.6520180051
ND039,dodenakker,,2871.63339406485
ND039,fruitkwekerij,,200201.161269793
ND039,grasland,,980198.465800703
ND039,overig,,834968.472816066
ND039,populieren,,1738.68026337259
ND039,zand,,18046.3632953225
ND046,akkerland,,160428.683333997
ND046,"basaltblokken, steenglooiing",,8802.03548783367
ND046,boomgaard,,5473.47434424918
ND046,"bos: loofbos",,70416.8789300779
ND046,"bos: loofbos","dras, moerassig",33308.5328044982
ND046,dodenakker,,2871.63339406485
ND046,fruitkwekerij,,206211.351380096
ND046,grasland,,1048643.19489513
ND046,grasland,"dras, moerassig",13387.9977292749
ND046,overig,,467364.100511845
ND046,populieren,,1738.68026337259
ND046,zand,,41759.8135160347
ND051,aanlegsteiger,,603.659346781466
ND051,akkerland,,291137.468623413
ND051,"basaltblokken, steenglooiing",,6302.48826508748
ND051,boomgaard,,13117.6041282224
ND051,boomkwekerij,,3136.09616705731
ND051,"bos: loofbos",,84401.3117590213
ND051,"bos: loofbos","dras, moerassig",57670.4493196751
ND051,dodenakker,,12.9696112715756
ND051,fruitkwekerij,,193200.822856552
ND051,grasland,,1324782.41641644
ND051,grasland,"dras, moerassig",62448.5738986226
ND051,grasland,"met riet|dras, moerassig",1927.63547342598
ND051,overig,,490635.76591088
ND051,populieren,,1738.68026337259
ND051,zand,,34917.1540773488
ND056,aanlegsteiger,,1036.80821807898
ND056,akkerland,,293302.749914544
ND056,"basaltblokken, steenglooiing",,6403.42000581958
ND056,boomgaard,,7768.60657947673
ND056,boomkwekerij,,6879.62497210621
ND056,"bos: loofbos",,90472.6859328106
ND056,"bos: loofbos","dras, moerassig",57670.4493196751
ND056,dodenakker,,9747.68541773123
ND056,fruitkwekerij,,137447.518615621
ND056,grasland,,1345403.8037301
ND056,grasland,"dras, moerassig",62448.5738986226
ND056,grasland,"met riet|dras, moerassig",1927.63547342598
ND056,overig,,478826.995509596
ND056,zand,,42460.2131006935
ND063,aanlegsteiger,,1036.80821807898
ND063,akkerland,,330283.012915439
ND063,"basaltblokken, steenglooiing",,11635.713539286
ND063,boomgaard,,9147.67353039571
ND063,boomkwekerij,,6383.46083211527
ND063,"bos: loofbos",,82860.0154669953
ND063,"bos: loofbos","dras, moerassig",57670.4493196751
ND063,dodenakker,,3574.14880924069
ND063,fruitkwekerij,,216667.668664304
ND063,grasland,,1187515.40544083
ND063,grasland,"dras, moerassig",83259.7299828118
ND063,grasland,"met riet|dras, moerassig",1927.63547342598
ND063,overig,,361379.704701799
ND063,zand,,59174.7967051605
ND067,aanlegsteiger,,932.788219985502
ND067,akkerland,,393819.516789201
ND067,"basaltblokken, steenglooiing",,18978.1236443679
ND067,boomgaard,,21327.4073891275
ND067,boomkwekerij,,14289.4688397415
ND067,"bos: loofbos",,96656.9498575218
ND067,"bos: loofbos","dras, moerassig",34722.3753228905
ND067,fruitkwekerij,,248515.137579775
ND067,grasland,,1142888.89684665
ND067,grasland,"dras, moerassig",81292.4643080375
ND067,grasland,"met riet|dras, moerassig",1927.63547342598
ND067,overig,,307432.60962215
ND067,zand,,52727.1290924239
ND071,akkerland,,298986.232497841
ND071,"basaltblokken, steenglooiing",,23274.8501891277
ND071,boomgaard,,22297.3665339644
ND071,boomkwekerij,,19001.3763907139
ND071,"bos: loofbos",,130883.643897593
ND071,fruitkwekerij,,219812.953472225
ND071,grasland,,1301032.13478996
ND071,grasland,"dras, moerassig",32309.5307267445
ND071,grasland,"met riet|dras, moerassig",1927.07125219125
ND071,overig,,211328.956343919
ND071,zand,,71898.1128036456
ND077,akkerland,,422449.370599759
ND077,"basaltblokken, steenglooiing",,22435.1170331847
ND077,boomgaard,,23769.2214615952
ND077,boomkwekerij,,17065.5581034494
ND077,"bos: loofbos",,131662.015330338
ND077,fruitkwekerij,,300161.142599288
ND077,grasland,,1097612.98939469
ND077,grasland,"dras, moerassig",66504.7831447558
ND077,overig,,147763.192812751
ND077,zand,,88947.9774204689
ND081,akkerland,,389051.318239037
ND081,"basaltblokken, steenglooiing",,22089.1664294554
ND081,boomgaard,,24619.6375784032
ND081,boomkwekerij,,16231.7636278774
ND081,"bos: loofbos",,167646.807836694
ND081,"bos: loofbos","dras, moerassig",3451.83228562179
ND081,fruitkwekerij,,337872.06804063
ND081,grasland,,1031328.45543157
ND081,grasland,"dras, moerassig",43977.1308780165
ND081,overig,,180250.4358559
ND081,zand,,91962.6349124198
ND090,akkerland,,253388.592817879
ND090,"basaltblokken, steenglooiing",,22090.6527155218
ND090,boomgaard,,21946.7568200098
ND090,"bos: loofbos",,170759.690884419
ND090,"bos: loofbos","dras, moerassig",18185.1330997489
ND090,dodenakker,,81.4809213356584
ND090,fruitkwekerij,,320762.081937166
ND090,grasland,,1055835.51534813
ND090,overig,,235303.018539073
ND090,zand,,98841.1863937986
