location,typelandgebruik,voorkomen,area
ND071,"bos: loofbos",,8725.66919583394
ND071,grasland,,76883.9881823724
ND071,grasland,"dras, moerassig",14287.1908219358
ND071,overig,,12023.423131758
ND077,"basaltblokken, steenglooiing",,2241.42065941662
ND077,boomgaard,,9421.6384940818
ND077,"bos: loofbos",,10358.2485188507
ND077,grasland,,79549.5286090148
ND077,overig,,6329.34097092266
ND077,zand,,5038.84210709306
ND081,akkerland,,12313.1282554495
ND081,"bos: loofbos",,17711.0338992361
ND081,grasland,,53078.3389970413
ND081,overig,,15538.2204345009
ND090,boomgaard,,3530.97644930459
ND090,"bos: loofbos",,2050.08331299873
ND090,"bos: loofbos","dras, moerassig",4082.44343124641
ND090,fruitkwekerij,,3598.71025306603
ND090,grasland,,86748.9696373478
ND090,overig,,6739.12043610622
ND090,zand,,331.137488648098
