location,typelandgebruik,voorkomen,area
ND071,grasland,"dras, moerassig",20811.1560841892
ND071,overig,,33333.5600261866
ND071,zand,,9103.72662086078
ND077,akkerland,,74387.6358378638
ND077,"basaltblokken, steenglooiing",,10950.6372278177
ND077,boomgaard,,13208.8698027558
ND077,boomkwekerij,,6313.05703050889
ND077,"bos: loofbos",,99189.5591755797
ND077,fruitkwekerij,,15068.1948330473
ND077,grasland,,238073.889386289
ND077,overig,,35260.6684647434
ND077,zand,,15224.4762391765
ND081,akkerland,,133141.698924965
ND081,"basaltblokken, steenglooiing",,5243.45572384814
ND081,boomgaard,,12515.4798104049
ND081,boomkwekerij,,438.920879838812
ND081,"bos: loofbos",,61968.9542186023
ND081,fruitkwekerij,,51810.3804217375
ND081,grasland,,263371.263173373
ND081,overig,,38778.231641036
ND081,zand,,20339.628921738
ND090,akkerland,,84500.2428544963
ND090,"basaltblokken, steenglooiing",,3305.76312131712
ND090,boomgaard,,10102.3798788368
ND090,"bos: loofbos",,54256.8899945081
ND090,"bos: loofbos","dras, moerassig",18185.1330997489
ND090,fruitkwekerij,,76453.4596828555
ND090,grasland,,342186.012997964
ND090,overig,,18198.5782233424
ND090,zand,,31295.048982016
